num,title,director,actors,country,language,score,commentors,releasedate,runtime,series,commente
11,机器人总动员,安德鲁·斯坦顿,"['本·贝尔特', '艾丽莎·奈特', '杰夫·格尔林', '佛莱德·威拉特']",美国,英语,9.3,730071,2008-06-27(美国),98分钟,"['爱情', '科幻', '动画', '冒险']",小瓦力，大人生。
12,三傻大闹宝莱坞,拉吉库马尔·希拉尼,"['阿米尔·汗', '卡琳娜·卡普尔', '马达范', '沙尔曼·乔希']",印度,印地语 / 乌尔都语 / 英语,9.2,988850,2011-12-08(中国大陆),171分钟(印度),"['剧情', '喜剧', '爱情', '歌舞']",英俊版憨豆，高情商版谢耳朵。
13,海上钢琴师,朱塞佩·托纳多雷,"['蒂姆·罗斯', '普路特·泰勒·文斯', '比尔·努恩', '克兰伦斯·威廉姆斯三世']",意大利,英语 / 法语 / 意大利语,9.2,812257,1998-10-28(意大利),165分钟,"['剧情', '音乐']",每个人都要走一条自己坚定了的路，就算是粉身碎骨。
14,放牛班的春天,克里斯托夫·巴拉蒂,"['热拉尔·朱尼奥', '弗朗索瓦·贝莱昂', '凯德·麦拉德', '让-保罗·博奈雷']",法国 / 瑞士 / 德国,法语,9.3,684295,2004-10-16(中国大陆),97分钟,"['剧情', '音乐']",天籁一般的童声，是最接近上帝的存在。
15,楚门的世界,彼得·威尔,"['金·凯瑞', '劳拉·琳妮', '艾德·哈里斯', '诺亚·艾默里奇']",美国,英语,9.2,754821,1998-06-05(美国),103分钟,"['剧情', '科幻']",如果再也不能见到你，祝你早安，午安，晚安。
16,大话西游之大圣娶亲,刘镇伟,"['周星驰', '吴孟达', '朱茵', '蔡少芬']",香港 / 中国大陆,粤语 / 汉语普通话,9.2,764469,2014-10-24(中国大陆),95分钟,"['喜剧', '爱情', '奇幻', '古装']",一生所爱。
17,星际穿越,克里斯托弗·诺兰,"['马修·麦康纳', '安妮·海瑟薇', '杰西卡·查斯坦', '卡西·阿弗莱克']",美国 / 英国 / 加拿大 / 冰岛,英语,9.2,784139,2014-11-12(中国大陆),169分钟,"['剧情', '科幻', '冒险']",爱是一种力量，让我们超越时空感知它的存在。
18,龙猫,宫崎骏,"['日高法子', '坂本千夏', '糸井重里', '岛本须美']",日本,日语,9.2,675975,2018-12-14(中国大陆),86分钟,"['动画', '奇幻', '冒险']",人人心中都有个龙猫，童年就永远不会消失。
19,教父,弗朗西斯·福特·科波拉,"['马龙·白兰度', '阿尔·帕西诺', '詹姆斯·肯恩', '理查德·卡斯特尔诺']",美国,英语 / 意大利语 / 拉丁语,9.2,496323,1972-03-15(纽约首映),175 分钟,"['剧情', '犯罪']",千万不要记恨你的对手，这样会让你失去理智。
20,熔炉,黄东赫,"['孔侑', '郑有美', '金志映', '金贤秀']",韩国,韩语,9.3,441287,2011-09-22(韩国),125分钟,['剧情'],我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
21,无间道,刘伟强,"['刘德华', '梁朝伟', '黄秋生', '曾志伟']",香港,粤语,9.1,627510,2003-09-05(中国大陆),101分钟,"['剧情', '悬疑', '犯罪']",香港电影史上永不过时的杰作。
